,RAMO_POLIZA_ENDOSO,ASEGURADO,FECHA EMISION,VIGENCIA DESDE,VIGENCIA HASTA,RENOVADA POR,RENUEVA A,CODIGO DE MONEDA,CODIGO DE FACTURACION,CODIGO DE EMISION (MONEDA),%  RECARGO FINANCIERO,%  I.V.A.,%  BONIFICACION TECNICA,CODIGO DE RAMO/SUBRAMOS,SUMA ASEGURADA,PRIMA NETA,DERECHO DE POLIZA/ENDOSO,RECARGO FINANCIERO,I.V.A.,BONIFICACION,BONIFICACION REC.FIN.,BONIFICACION TECNICA,PRIMA (SOLO P/ENDOSO DE REC.FIN),PRIMA TOTAL,CODIGO DE PLAN DE PAGO,COMISION NORMAL,ENDOSO QUE MODIFICA,ACREEDOR PRENDARIO,MARCA DE ANULACION AUTOMATICA,TIPO DE ENDOSOS ASOCIADOS,ENDOSOS ASOCIADOS,FECHA DE REHABILITACION,NUMERO DE SINIESTRO,CODIGO DE SUCURSAL,CODIGO DE OPERACION (COAS),POL/END EN COAS RECIBIDO U OTORGADO,COMPANIA PILOTO,TURISTAS,CAMBIO DE MONEDA,SUMA ASEGURADA         M.E.,DERECHO DE POLIZA/END  M.E.,RECARGO FINANCIERO     M.E.,I.V.A. M.E.,BONIFICACION REC.FIN.  M.E.,BONIFICACION TECNICA   M.E.,PRIMA TOTAL            M.E.,USUARIO QUE EMITE,RENOVACION AUTOMATICA,DIAS DE PERIODO DE GRACIA DEL AGENTE,AUT. EN DIAS DE PERIODO DE GRACIA,% DESC X PERIODO DE GRACIA,DESCTO. PERIODO DE GRACIA,POLITICAS DE BONO A PROMOTOR,MARCA DE DEDUCIBLE ADMINISTRATIVO,PLAN PISO,USUARIO DE QBC,C.P. ASEGURADO,COD. EDO Y GRUPO C.P.,"TIPO DE NEGOCIO (I,FL,C,NE,NF>"
0,040004443500164032,0027035056,20288,20283,20570,,,00,1,1,-200,1600,,0401,847700001,821686,42000,-16434,135560,0,0,0,,982812,C,1100ý200,000000,,,201,,,,009,1,,009,,,,,,,,,,MANUGOMEZ,,14,,200,16434,S,,,,11000,09ý02,
0,040190191600000000,0020623815,20351,20367,20733,0190206856,0190173845,00,1,1,-200,1600,4681,0401,647940001,1220742,55000,-24415,200212,0,0,611905,,1451539,C,1000ý200,000000,,,,,,,019,1,,009,,,,,,,,,,JOCAMPOS,,14,,200,24415,S,,,,14390,09ý08,
0,041420178200145754,0019483431,20375,20339,20705,,,00,1,1,-200,1600,,0402,622000001,3667604,55000,-73352,583880,,,,,4233132,C,800,207486,,,201,,,,142,1,,009,,,,0,,,,,,WBETANCOURT-AUT,,14,,200,73352,,,,,89602,28ý02,
0,040190191700000000,0020101520,20352,20352,20718,,,00,1,1,480,1600,3000,0402,835600000,716184,55000,34377,128890,0,0,288027,,934451,T,800,,,,203,228762,,,019,1,,,,,,,,,,,,WSDS11251ý21690ýPRINCIPAL,,14,,200,14324,,,,,76240,22ý01,
0,044055580700251552,0029349377,20579,20530,20895,,4055100063,00,2,1,-680,1600,2000,0401,-1278200000,-1761078,-70000,-119753,-312133,0,0,-429270,,-2262964,T,500,000000,,,203,,,,591,1,,,,,,0,0,0,,0,0,CANCELA-AUT,,30,,0,0,,,,PAT_P-90166,11700,09ý02,
0,048500009900100767,0018241664,19786,19781,20146,,,00,1,1,480,1600,1489,0401,,,,16506,2641,,0,,375132,19147,T,0,000000,,,301,,,,850,1,,009,,,,,,,,,,VPARRA,,14,,200,7503,,,,,36470,11ý21,
0,040190191800000000,0020798386,20356,20366,20732,,0190173527,00,1,1,-200,1600,3500,0402,1589200000,1412597,55000,-28252,230295,0,0,724994,,1669640,C,0,,,,203,294343,,,019,1,,,,,,,,,,,,WSDS11251ý21690ýPRINCIPAL,,14,,200,28252,,,,,10400,09ý08,
0,040190191900000000,0020798386,20357,20393,20759,,0190173607,00,1,1,0,1600,6900,0401,1621500000,420471,100000,0,83275,0,0,818042,,603746,C,0,,001337,,203,262108,,,019,1,,,,,,,,,,,,WSDS11251ý21690ýPRINCIPAL,,07,,0,0,,,,,10400,09ý08,
0,040190192000000000,0024420318,20358,20370,20736,0190206497,0190174718,00,1,1,-200,1600,4300,0401,1167000000,885863,55000,-17717,147703,0,0,634998,,1070849,C,1000ý200,,,,,,,,019,1,,,,,,,,,,,,WSDS11251ý21690ýPRINCIPAL,,14,,200,17717,,,,,04460,09ý04,
0,040004630600166330,0028984977,20655,20630,20813,,,00,1,1,240,1600,4500,0401,868100000,305489,0,7332,50051,,,231897,,362872,S,1100,202403,,,201,,,,008,1,,,,,,0,,,,,,MARORAMOS-AUT,,0,,200,12220,,,,,01620,09ý03,
0,047160363100277254,0020474550,20184,20185,20551,,,00,2,1,300,1600,0,0401,-890400000,-988370,-55000,29651,-162195,,,0,,-1175914,C,1100,000000,,S,203,,,,716,1,,,,,,0,,,,,,ROLEA-AUT,,07,,300,29651,,,,,66070,19ý02,
0,040190192100000000,0014082334,20359,20367,20733,,,00,1,1,240,1600,4500,0401,699960001,1457100,55000,34970,247531,0,0,1156074,,1794601,S,1000,000000,,,,,,240923746,019,1,,009,,,,,,,,,,JOCAMPOS,,14,,200,29142,,,,,72534,21ý01,
0,045690083600102379,0029017433,20659,20659,20829,,,00,1,1,0,1600,0,0401,1734040001,25274,,0,4044,0,0,0,,29318,C,600,000000,000784,,201,,,,569,1,,009,,,,,,,,,,MARRIVERO,,03,,0,0,,,,,74893,21ý21,
0,041950132100247554,0020652834,19659,19641,20006,,,00,2,1,0,1600,2700,0401,-853300000,-554729,-52000,0,-97077,,,-189713,,-703806,C,250,000000,,S,203,,,,195,1,,,,,,0,,,,,,BRIPEREZ-AUT,,30,,0,0,,,,,31456,08ý01,
0,040190192200000000,0020862514,20361,20412,20778,,0190174573,00,1,1,-200,1600,,0406,500920001,566679,55000,-11334,97655,0,0,0,,708000,C,1000,000000,,,203,293768,,,019,1,,009,,,,,,,,,,MFVILLEGAS,,14,,200,11334,,,,,11320,09ý02,
0,040830320500158131,0017541372,19993,19993,20240,,,00,1,1,440,1600,6414,0401,722136101,386992,40000,17028,71043,0,0,641589,,515063,S,1000,000000,,,201,,,,083,1,,009,,,,,,,,,,NCROMAN,,30,,0,0,,,,,15700,09ý11,
0,040190192300000000,0022515268,20365,20365,20731,,,00,1,1,-200,1600,3545,0402,447100001,1464094,55000,-29282,238370,0,0,779830,,1728182,C,800ý200,000000,,,203ý201ý101,235681ý103532ý378453,,231405219ý231718579ý240785475,019,1,,009,,,,,,,,,,EJERONIMO,,14,,200,29282,S,,,,06050,09ý01,
0,040190192400000000,0020673583,20371,20392,20758,,,00,1,1,-200,1600,4500,0401,893300000,783735,55000,-15675,131690,0,0,605139,,954750,C,1000,,,,203,266259,,,019,1,,,,,,,,,,,,WSDS11251ý21690ýPRINCIPAL,,14,,200,15675,,,,,11000,09ý02,
0,040190192500000000,0024776126,20373,20400,20766,,0190174809,00,1,1,-200,1600,5000,0401,645400001,868376,55000,-17368,144961,0,0,696596,,1050969,C,1000,000000,,,203,247954,,,019,1,,009,,,,,,,,,,SHINOJOSA2,,14,,200,17368,,,,,61500,16ý22,
